IYEAR,IMONTH,IDAY,AVG_DAILY_TEMP_F
2012,8,1,73.60000000000001
2012,8,2,69.3090909090909
2012,8,3,65.42857142857143
2012,8,4,65.44810126582279
2012,8,5,60.61797752808989
2012,8,6,66.37560975609756
2012,8,7,64.775
2012,8,8,64.475
2012,8,9,61.974999999999994
2012,8,10,58.775000000000006
2012,8,11,60.474999999999994
2012,8,12,61.849999999999994
2012,8,13,65.73150684931507
2012,8,14,58.50120481927711
2012,8,15,63.474999999999994
2012,8,16,59.074999999999996
2012,8,17,56.55
2012,8,18,57.900000000000006
2012,8,19,54.8
2012,8,20,58.300000000000004
2012,8,21,62.21971830985916
2012,8,22,69.275
2012,8,23,71.1
2012,8,24,73.30000000000001
2012,8,25,72.19999999999999
2012,8,26,67.9
2012,8,27,63.25
2012,8,28,66.11
2012,8,29,70.43529411764705
2012,8,30,71.26153846153846
2012,8,31,63.12941176470588
2012,9,1,63.88297872340426
2012,9,2,67.56134453781513
2012,9,3,71.75
2012,9,4,138.38823529411766
2012,9,5,61.835
2012,9,6,56.09579831932773
2012,9,7,52.489719626168224
2012,9,8,50.175
2012,9,9,54.725
2012,9,10,59.849999999999994
2012,9,11,67.34084507042253
2012,9,12,61.150000000000006
2012,9,13,53.95
2012,9,14,48.775000000000006
2012,9,15,55.070422535211264
2012,9,16,56.425
2012,9,17,49.8
2012,9,18,41.375
2012,9,19,49.03661971830986
2012,9,20,48.325
2012,9,21,42.825
2012,9,22,40.95
2012,9,23,40.599999999999994
2012,9,24,49.89859154929578
2012,9,25,40.8
2012,9,26,42.3
2012,9,27,46.075
2012,9,28,52.724999999999994
2012,9,29,54.099999999999994
2012,9,30,56.74366197183099
2012,10,1,58.1
2012,10,2,49.025000000000006
2012,10,3,54.690140845070424
2012,10,4,47.5
2012,10,5,32.55774647887324
2012,10,6,34.925
2012,10,7,35.849999999999994
2012,10,8,39.95
2012,10,9,38.25
2012,10,10,32.675
2012,10,11,34.400000000000006
2012,10,12,32.775000000000006
2012,10,13,44.05
2012,10,14,38.55
2012,10,15,41.35492957746479
2012,10,16,54.25915492957746
2012,10,17,51.025000000000006
2012,10,18,48.95
2012,10,19,47.900000000000006
2012,10,20,39.625
2012,10,21,46.150000000000006
2012,10,22,48.675
2012,10,23,45.575
2012,10,24,48.55
